Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
KRISHNAGIRI RESERVOIR,-,0.16,-,-,0.16,-,-,-,Krishna,Kurnool,-
VEERA RAGHAVANI KOTA ANICUT,-,0.6,-,-,0.6,-,-,-,Other,Prakasam,-
ADINIMMAYAPALLI ANICUT,-,0,-,-,0,-,-,-,Pennar,Y.S.R Kadapa,-
PALERU BITRAGUNTA ANICUT,-,0.37,-,-,0.37,-,-,-,Other,Srikakulam,-
PENNAR KUMUDWATHI PROJECT (ANICUT),-,0,-,-,0,-,-,-,Pennar,Sri Sathya Sai,-
Somasila Reservoir,11/19/21,78,325.6,68.21,9.79,11/19/21,512303,549492,Pennar,Sri Potti Sriramulu Nellore,-
KANDALERU RESERVOIR,11/19/21,68.03,271.36,57.18,10.85,11/19/21,10350,470,Pennar,Sri Potti Sriramulu Nellore,-
GANDIKOTA RESERVOIR,11/19/21,26.85,694.39,25.09,1.76,11/19/21,85000,140000,Pennar,Y.S.R Kadapa,-
VELOGODU BALANCING RESERVOIR,11/19/21,16.95,861.28,13.4,3.55,11/19/21,0,1250,Pennar,Nandyal,-
PENNA AHOBILAM BALANCING RESERVOIR,11/19/21,5.5,1427.72,5.02,0.48,11/19/21,1664,880,Pennar,Ananthapuramu,-
CHITRAVATI BALANCING RESERVOIR,11/18/21,10.23,975.79,9.53,0.7,11/18/21,0,0,Pennar,Y.S.R Kadapa,-
MYLAVARAM(PENNAR) RESERVOIR,-,6.5,629.72,1.45,5.05,-,-,-,Pennar,Y.S.R Kadapa,-
PAIDIPALEM BALANCING RESERVOIR,-,6,-,-,6,-,-,-,Pennar,Y.S.R Kadapa,-
MID PENNAR RESERVOIR,11/19/21,5.17,1193.27,4.09,1.08,11/19/21,2230,610,Pennar,Ananthapuramu,-
VELIGALLU RESERVOIR,-,4.64,1372.2,3.94,0.7,-,-,-,Pennar,Annamayya,-
KANIGIRI RESERVOIR,11/19/21,3.45,94.55,1.84,1.61,11/19/21,250,717,Pennar,Sri Potti Sriramulu Nellore,-
SARVARAJA SAGAR,11/19/21,1.06,633.86,0.82,0.24,11/19/21,0,0,Pennar,Y.S.R Kadapa,-
ALAGANURU BALANCING RESERVOIR,11/19/21,2.97,0,0,2.97,11/19/21,0,0,Pennar,Nandyal,-
ANNAMAYYA (CHEYYERU) RESERVOIR,-,2.24,660.69,1.71,0.53,-,-,-,Pennar,Y.S.R Kadapa,-
