Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
NTR Jalasayam,4/16/26,0.11,964.32,0.1,0.01,4/16/26,0,0,Other,Chittoor,-
DAMODARAM SAGARAM,4/16/26,0.06,160,0.02,0.04,4/16/26,110,100,Other,Srikakulam,-
GAJJILIGEDDA RESERVOIR,4/16/26,0.05,320,0.03,0.02,4/16/26,0,0,Other,Srikakulam,-
NARAYANAPURAM ANICUT,4/10/26,0,89.4,0,0,4/10/26,250,200,Other,Srikakulam,-
KRISHNAGIRI RESERVOIR,4/16/26,0.16,1207.57,0.11,0.05,4/16/26,0,15,Krishna,Kurnool,-
VEERA RAGHAVANI KOTA ANICUT,4/16/26,0.6,64.3,0.03,0.57,4/16/26,0,0,Other,Prakasam,-
ADINIMMAYAPALLI ANICUT,4/16/26,0,419.94,0,0,4/16/26,140,140,Pennar,Y.S.R Kadapa,-
PALERU BITRAGUNTA ANICUT,4/16/26,0.37,38,0.03,0.34,4/16/26,0,0,Other,Srikakulam,-
PENNAR KUMUDWATHI PROJECT (ANICUT),4/10/26,0,0,0,0,4/10/26,0,0,Pennar,Sri Sathya Sai,-
Somasila Reservoir,4/16/26,78,320.87,58.62,19.38,4/16/26,0,880,Pennar,Sri Potti Sriramulu Nellore,-
KANDALERU RESERVOIR,4/7/26,68.03,262.32,45.84,22.19,4/7/26,0,815,Pennar,Sri Potti Sriramulu Nellore,-
GANDIKOTA RESERVOIR,4/15/26,26.85,692.06,22.34,4.51,4/15/26,0,150,Pennar,Y.S.R Kadapa,-
VELOGODU BALANCING RESERVOIR,4/15/26,16.95,831.03,3.15,13.8,4/15/26,0,560,Pennar,Nandyal,-
PENNA AHOBILAM BALANCING RESERVOIR,4/16/26,5.5,1408.77,2.59,2.91,4/16/26,0,130,Pennar,Ananthapuramu,-
CHITRAVATI BALANCING RESERVOIR,4/16/26,10.23,967.63,6.83,3.4,4/16/26,0,370,Pennar,Y.S.R Kadapa,-
MYLAVARAM(PENNAR) RESERVOIR,4/12/26,6.5,640.98,3,3.5,4/12/26,0,279,Pennar,Y.S.R Kadapa,-
PAIDIPALEM BALANCING RESERVOIR,4/16/26,6,892.72,3.8,2.2,4/16/26,0,135,Pennar,Y.S.R Kadapa,-
MID PENNAR RESERVOIR,4/16/26,5.17,1138,0.27,4.9,4/16/26,0,40,Pennar,Ananthapuramu,-
VELIGALLU RESERVOIR,4/16/26,4.64,1368.79,3.55,1.09,4/16/26,0,0,Pennar,Annamayya,-
KANIGIRI RESERVOIR,4/16/26,3.45,93.92,1.62,1.84,4/16/26,150,85,Pennar,Sri Potti Sriramulu Nellore,-
SARVARAJA SAGAR,4/16/26,1.06,631.51,0.65,0.41,4/16/26,0,45,Pennar,Y.S.R Kadapa,-
ALAGANURU BALANCING RESERVOIR,4/16/26,2.97,815.28,0,2.97,4/16/26,0,0,Pennar,Nandyal,-
ANNAMAYYA (CHEYYERU) RESERVOIR,-,2.24,-,-,2.24,-,-,-,Pennar,Y.S.R Kadapa,-
UPPER PENNAR,4/16/26,1.81,1722.3,0.01,1.8,4/16/26,0,0,Pennar,Sri Sathya Sai,-
CHAGALLU BALANCING RESERVOIR,4/16/26,0.95,865.07,0.72,0.23,4/16/26,0,40,Pennar,Ananthapuramu,-
Cherlopalli Reservoir,4/16/26,1.61,1944.06,0.57,1.04,4/16/26,0,20,Pennar,Sri Sathya Sai,-
VAMIKONDA SAGAR RESERVOIR,4/16/26,1.6,648.5,1.06,0.54,4/16/26,0,70,Pennar,Y.S.R Kadapa,-
PATHIKONDA RESERVOIR,4/16/26,1.13,448.55,0.75,0.37,4/16/26,0,10,Krishna,Kurnool,-
SRINIVASAPURAM RESERVOIR (HNSS),4/16/26,1.02,1361.55,0.03,0.99,4/16/26,0,0,Pennar,Annamayya,-
NELLORE TANK,4/16/26,0.84,65.7,0.51,0.33,4/16/26,50,10,Pennar,Sri Potti Sriramulu Nellore,-
BUGGAVANKA RESERVOIR,4/16/26,0.51,590.7,0.22,0.29,4/16/26,0,25,Pennar,Y.S.R Kadapa,-
Marala Reservoir,4/16/26,0.48,1453.85,0.38,0.1,4/16/26,0,5,Pennar,Sri Sathya Sai,-
SANGAM ANICUT / BARRGE,4/16/26,0.45,110.72,0.27,0.18,4/16/26,60,65,Other,Sri Potti Sriramulu Nellore,-
PINCHA PROJECT,4/13/26,0.33,989.4,0.15,0.18,4/13/26,19,62,Pennar,Annamayya,-
YELLANUR SR2,4/16/26,0.31,775.59,0.24,0.07,4/16/26,0,0,Pennar,Ananthapuramu,-
THIMMAPURAM SR1,4/16/26,0.3,721.13,0.23,0.07,4/16/26,0,0,Pennar,Y.S.R Kadapa,-
GODDAMVARIPALLI SR3,4/16/26,0.3,816.93,0.2,0.1,4/16/26,0,0,Pennar,Ananthapuramu,-
NELLORE ANICUT,4/16/26,0.38,45.01,0.38,0,4/16/26,0,0,Pennar,Sri Potti Sriramulu Nellore,-
KALANGI RESERVOIR,4/13/26,0.24,205.9,0.01,0.23,4/13/26,0,5,Other,Tirupati,-
LOWER SAGILERU ANI CUT,4/16/26,0.17,514.5,0.16,0.01,4/16/26,0,0,Pennar,Y.S.R Kadapa,-
UPPER SAGILERU,-,-,-,-,-,-,-,-,Pennar,Y.S.R Kadapa,-
Donkarayi Reservoir,4/16/26,16.51,1031.7,11.74,4.77,4/16/26,5507,4172,GODAVARI,Alluri Sitharama Raju,-
HIRAMANDALAM RESERVOIR,4/16/26,10,148,2.67,7.33,4/16/26,0,0,Other,Srikakulam,-
PENDEKALLU RESERVOIR,4/16/26,0.65,836.24,0.38,0.27,4/16/26,0,0,Pennar,Ananthapuramu,-
Sileru (Guntawada) Reservoir,4/16/26,4.3,1344,0.92,3.38,4/16/26,4656,3008,GODAVARI,Alluri Sitharama Raju,-
TUNGABADRA DAM,4/16/26,105.79,1592.88,13.6,92.19,4/16/26,0,4275,Krishna,Vijayanagara(KS),-
COASTAL ANDHRA REGION,-,628.16,-,362.29,265.87,-,-,-,-,-,-
RAYALASEEMA REGION,-,371.9,-,120.48,251.43,-,-,-,-,-,-
TOTAL,-,1105.85,-,496.37,609.48,-,-,-,-,-,-
